月光宝盒,#genre#
CCTV-1 综合,https://live3.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV-2 财经,https://live3.rxip.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV-3 综艺,https://live3.rxip.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV-4 中文国际,https://live3.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV-5 体育,https://live3.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV-5+ 体育赛事,https://live3.rxip.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV-6 电影,https://live3.rxip.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV-7 国防军事,https://live3.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV-8 电视剧,https://live3.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV-9 纪录,https://live3.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV-10 科教,https://live3.rxip.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV-11 戏曲,https://live3.rxip.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV-12 社会与法,https://live3.rxip.sc96655.com/live/CCTV-12H265_4000.m3u8
CCTV-13 新闻,https://live3.rxip.sc96655.com/live/CCTV-xw_4000.m3u8
CCTV-14 少儿,https://live3.rxip.sc96655.com/live/CCTV-14H265_4000.m3u8
CCTV-15 音乐,https://live3.rxip.sc96655.com/live/CCTV-15-yyH265_4000.m3u8
CCTV-16 奥林匹克,https://live3.rxip.sc96655.com/live/CCTV-16_4000.m3u8
CCTV-16 奥林匹克 4K,https://live3.rxip.sc96655.com/live/CCTV-16-4K_8000.m3u8
CCTV-17 农业农村,https://live3.rxip.sc96655.com/live/CCTV-17_4000.m3u8
CCTV-4K 超高清,https://live3.rxip.sc96655.com/live/ys4Kcq_2000.m3u8

安徽卫视,https://live3.rxip.sc96655.com/live/ahwsH265_4000.m3u8
北京卫视,https://live3.rxip.sc96655.com/live/bjwsH265_4000.m3u8
兵团卫视,https://live3.rxip.sc96655.com/live/btws_4000.m3u8
重庆卫视,https://live3.rxip.sc96655.com/live/cqwsH265_4000.m3u8
东方卫视,https://live3.rxip.sc96655.com/live/dfwsH265_4000.m3u8
东南卫视,https://live3.rxip.sc96655.com/live/dnwsfjwsH265_4000.m3u8
甘肃卫视,https://live3.rxip.sc96655.com/live/gsws_4000.m3u8
广东卫视,https://live3.rxip.sc96655.com/live/gdwsH265_4000.m3u8
广西卫视,https://live3.rxip.sc96655.com/live/gxws_4000.m3u8
贵州卫视,https://live3.rxip.sc96655.com/live/gzwsH265_4000.m3u8
海南卫视,https://live3.rxip.sc96655.com/live/hnws_4000.m3u8
河南卫视,https://live3.rxip.sc96655.com/live/hnws35_4000.m3u8
黑龙江卫视,https://live3.rxip.sc96655.com/live/hljwsH265_4000.m3u8
湖北卫视,https://live3.rxip.sc96655.com/live/hbwsH265_4000.m3u8
湖南卫视,https://live3.rxip.sc96655.com/live/hnwsH265_4000.m3u8
吉林卫视,https://live3.rxip.sc96655.com/live/jlwsH265_4000.m3u8
江苏卫视,https://live3.rxip.sc96655.com/live/jswsH265_4000.m3u8
